 41,84805476573166770E-6
-321,8911086116978030E-6
-410,2825938137342520E-6
 65,42089631229364950E-6
-0,002575017224635281
-0,002229588201372574
-0,002042704619477131
-0,009770806624669342
-0,005304112401575119
 975,4446205337046650E-6
-0,007947852449981386
 0,001870957677211208
 0,005520806975331948
-0,014292166076952700
-239,0537420249349910E-6
-0,007885301574617891
-0,044880726968317720
-0,010692849303412327
-0,017649588686364820
-0,055149733366759206
 0,056682673091048748
 0,064300395444752051
-0,047918990840378720
 0,205267419454653349
 0,477441406249999978
 0,205267419454653349
-0,047918990840378720
 0,064300395444752051
 0,056682673091048748
-0,055149733366759206
-0,017649588686364820
-0,010692849303412327
-0,044880726968317720
-0,007885301574617891
-239,0537420249349910E-6
-0,014292166076952700
 0,005520806975331948
 0,001870957677211208
-0,007947852449981386
 975,4446205337046650E-6
-0,005304112401575119
-0,009770806624669342
-0,002042704619477131
-0,002229588201372574
-0,002575017224635281
 65,42089631229364950E-6
-410,2825938137342520E-6
-321,8911086116978030E-6
 41,84805476573166770E-6

